"原表行号","核对状态","关键词","媒体账号","媒体类型","推广链接","发布时间（北京时间）","待处理问题"
"19","线上快照中已找到相同链接，跳过","离离对手","5155092584","快手","https://v.kuaishou.com/KKaNnqmI","2026-09-20 00:00:00",""
"20","线上快照中已找到相同链接，跳过","离离大伯","5427254780","快手","https://v.kuaishou.com/J9T1jrs3","2026-09-20 00:00:00",""
"21","线上快照中已找到相同链接，跳过","离离大伯","42307741837","小红书","https://xhslink.cn/o/7cAj7zohTqn","2026-09-20 00:00:00",""
"22","线上快照中已找到相同链接，跳过","离离路过","48747286690
","KOC抖音","https://v.douyin.com/c8n5Cr8CpGQ/","2026-09-20 00:00:00",""
"23","线上快照中已找到相同链接，跳过","离离路过","卷卷077","微信视频号","https://weixin.qq.com/sph/AoONfMt8ud","2026-09-20 00:00:00",""
"24","线上快照中已找到相同链接，跳过","离离路过","3393320757","快手","https://v.kuaishou.com/Ji16f8SP","2026-09-20 00:00:00",""
"25","线上快照中已找到相同链接，跳过","离离路过","95510487365","小红书","https://xhslink.cn/o/9PxxEGThsL8","2026-09-20 00:00:00",""
"26","线上快照中已找到相同链接，跳过","离离路过","1381498099","快手","https://v.kuaishou.com/nsJcx7eL","2026-09-20 00:00:00",""
"27","尚未上传，仍需核对线上计划","离离路过","Lfei199600","KOC抖音","https://v.douyin.com/Pu0sfmqtgEQ/","2026-09-20 00:00:00",""
"28","尚未上传，仍需核对线上计划","洛洛哑女","5629410610","快手","https://v.kuaishou.com/KeT8u4qI","2026-09-20 00:00:00",""
"29","尚未上传，仍需核对线上计划","洛洛哑女","dy58k7zyexhk","KOC抖音","https://v.douyin.com/BuWZY8rJeyc/","2026-09-20 00:00:00",""
"30","尚未上传，仍需核对线上计划","洛洛哑女","905000034","快手","https://www.kuaishou.com/f/X-7nXh2msDo6N1BQ","2026-09-20 00:00:00",""
"31","尚未上传，仍需核对线上计划","洛洛哑女","26225156063","小红书","https://www.xiaohongshu.com/discovery/item/6aafafa50000000011030091?source=webshare&xhsshare=pc_web&xsec_token=CBQxNt3vPqFxwBaXR0HZFBayP2GMKhpMr8CpjIc12JHyc=&xsec_source=pc_share","2026-09-20 00:00:00",""
"32","尚未上传，仍需核对线上计划","洛洛哑女","ID___ZMM","快手","https://www.kuaishou.com/f/X577ba5TIs6p1Kd","2026-09-20 00:00:00",""
"33","线上快照中已找到相同链接，跳过","离离对手","啊啊啊啊啊啊啊啊啊啊喜啊啊啊嗯","微信视频号","https://weixin.qq.com/sph/AahpsD7J6k","2026-09-20 00:00:00",""
"34","尚未上传，仍需核对线上计划","洛洛哑女","3095362496","快手","https://www.kuaishou.com/f/X5zOlygAoEum1d1","2026-09-20 00:00:00",""
"35","尚未上传，仍需核对线上计划","洛洛哑女","1237842925","快手","https://v.kuaishou.com/nubSygU1","2026-09-20 00:00:00",""
"36","尚未上传，仍需核对线上计划","洛洛哑女","64656766929","KOC抖音","https://v.douyin.com/yYHdHae-7hY/","2026-09-20 00:00:00",""
"37","线上快照中已找到相同链接，跳过","离离背包","95931245385","小红书","https://xhslink.cn/o/3RxReqyTMib","2026-09-20 00:00:00",""
"38","线上快照中已找到相同链接，跳过","离离背包","5367179002","快手","https://v.kuaishou.com/nXyEJKvX","2026-09-20 00:00:00",""
"39","线上快照中已找到相同链接，跳过","离离妙妙","5669798377","快手","https://v.kuaishou.com/Jyp9zZWx","2026-09-20 00:00:00",""
"40","线上快照中已找到相同链接，跳过","离离妙妙","woxinlaotianye","KOC抖音","https://v.douyin.com/UIcJKkpvK1c/","2026-09-20 00:00:00",""
"41","尚未上传，仍需核对线上计划","洛洛哑女","5770569553","快手","https://v.kuaishou.com/JWEyx5Zp","2026-09-20 00:00:00",""
"42","线上快照中已找到相同链接，跳过","离离老板","48747286690","KOC抖音","https://v.douyin.com/V_DflCPc17I/","2026-09-21 00:00:00",""
"43","线上快照中已找到相同链接，跳过","离离老板","1381498099","快手","https://v.kuaishou.com/nMrR6Ybw","2026-09-21 00:00:00",""
"44","线上快照中已找到相同链接，跳过","离离老板","3393320757","快手","https://v.kuaishou.com/KZcyAmP1","2026-09-21 00:00:00",""
"45","线上快照中已找到相同链接，跳过","离离老板","95510487365
","小红书","https://xhslink.cn/o/4Egcizgrq8R","2026-09-21 00:00:00",""
"46","线上快照中已找到相同链接，跳过","离离老板","Lfei199600","KOC抖音","https://v.douyin.com/ljxiRhzJ1KI/","2026-09-21 00:00:00",""
"47","尚未上传，需要补充或更正","","48747286690","KOC抖音","https://v.douyin.com/DZM3RMbr-Ik/","2026-09-21 00:00:00","缺少关键词"
"48","尚未上传，需要补充或更正","","3393320757","快手","https://v.kuaishou.com/J6tz5Tjz","2026-09-21 00:00:00","缺少关键词"
"49","尚未上传，需要补充或更正","","1381498099","快手","https://v.kuaishou.com/JjXkpDGL","2026-09-21 00:00:00","缺少关键词"
"50","尚未上传，需要补充或更正","","Lfei199600","","https://v.douyin.com/sw2RyDI4RE8/","","缺少关键词；缺少日期"
"51","尚未上传，仍需核对线上计划","洛洛种蛊","zyc20171107","KOC抖音","https://v.douyin.com/Jv0IjQXR3z8/","2026-09-21 00:00:00",""
"52","尚未上传，仍需核对线上计划","洛洛种蛊","5514556602","快手","https://v.kuaishou.com/KSolpUpT","2026-09-21 00:00:00",""
"53","线上快照中已找到相同链接，跳过","离离老板","dya2s0nmdgrp72","KOC抖音","https://v.douyin.com/vziZsf-JBIM/","2026-09-21 00:00:00",""
"54","线上快照中已找到相同链接，跳过","离离老板","1086933649","小红书","https://xhslink.cn/o/5Oj69syfZuO","2026-09-21 00:00:00",""
"55","线上快照中已找到相同链接，跳过","离离老板","4274010596","小红书","https://www.xiaohongshu.com/discovery/item/6ab09b98000000002b01cbe6?source=webshare&xhsshare=pc_web&xsec_token=DBypWwXYa7-sqJ9I3wXGe4qeDbtMsdyLrIF1KNKW87PMg=&xsec_source=pc_share","2026-09-21 00:00:00",""
"56","线上快照中已找到相同链接，跳过","离离老板","5770569553","快手","https://v.kuaishou.com/KZNdjtk2","2026-09-21 00:00:00",""
"57","线上快照中已找到相同链接，跳过","北窗照疏星","59034033570","KOC抖音","https://v.douyin.com/ef-fiSWg428/","2026-09-21 00:00:00",""
"58","线上快照中已找到相同链接，跳过","离离大伯","5771859861","快手","https://www.kuaishou.com/f/X-6mmqhg4FJiuRrE","2026-09-21 00:00:00",""
"59","线上快照中已找到相同链接，跳过","离离大伯","73041756481","KOC抖音","https://v.douyin.com/2nvq2ZhJTbU/","2026-09-21 00:00:00",""
"60","尚未上传，仍需核对线上计划","洛洛哑女","2381901294","快手","https://www.kuaishou.com/f/X7i1eC5J9pcdT7c","2026-09-21 00:00:00",""
"61","尚未上传，仍需核对线上计划","洛洛哑女","5673870694","快手","https://v.kuaishou.com/J2eczvZJ","2026-09-21 00:00:00",""
"62","尚未上传，仍需核对线上计划","洛洛哑女","837092028","小红书","https://xhslink.cn/o/6B4viSr4Cz","2026-09-21 00:00:00",""
"63","尚未上传，仍需核对线上计划","洛洛种蛊","ID___ZMM","快手","https://www.kuaishou.com/f/X-3YlV1UtTzaJ1R5","2026-09-21 00:00:00",""
"64","尚未上传，仍需核对线上计划","洛洛种蛊","dyi9znosqipy","KOC抖音","https://v.douyin.com/CSlIj9tDUY0/","2026-09-21 00:00:00",""
"65","尚未上传，仍需核对线上计划","洛洛哑女","dyi9znosqipy","KOC抖音","https://v.douyin.com/o7UnhiTxiSU/","2026-09-21 00:00:00",""
"66","尚未上传，需要补充或更正","尘笼异遇","ID___ZMM","快手","https://www.kuaishou.com/f/X6vDifvMN7Id1fI","","缺少日期"
"67","尚未上传，需要补充或更正","尘笼异遇","5615318076","小红书","https://www.xiaohongshu.com/discovery/item/6ab0e0680000000033025371?source=webshare&xhsshare=pc_web&xsec_token=CBf1kEqPRRg4Y2gWQDAF02camoBCFiWU3RJaobb_K1I7E=&xsec_source=pc_share","","缺少日期"
"68","尚未上传，仍需核对线上计划","尘笼异遇","dyi9znosqipy","KOC抖音","https://v.douyin.com/e-4UC0jD9o0/","2026-09-21 00:00:00",""
"69","线上快照中已找到相同链接，跳过","离离对手","291010306","小红书","https://www.xiaohongshu.com/discovery/item/6ab09fa8000000002603ab48?source=webshare&xhsshare=pc_web&xsec_token=CB3gM4KVH_MWK5w-yz9Uh6Q4wewPy_9eFTLh8NLIR-pM0=&xsec_source=pc_share","2026-09-21 00:00:00",""
"70","线上快照中已找到相同链接，跳过","离离对手","5771877562","快手","https://www.kuaishou.com/f/X-1QWbu53rgpj1qG","2026-09-21 00:00:00",""
"71","线上快照中已找到相同链接，跳过","离离弹幕","171316993","快手","https://v.kuaishou.com/JLvoxTK2","2026-09-21 00:00:00",""
"72","线上快照中已找到相同链接，跳过","离离弹幕","5427254780","快手","https://v.kuaishou.com/JI2ZKJ5b","2026-09-21 00:00:00",""
"73","线上快照中已找到相同链接，跳过","离离弹幕","42307741837","小红书","https://xhslink.cn/o/5nfq07eVLG9","2026-09-21 00:00:00",""
"74","线上快照中已找到相同链接，跳过","离离弹幕","1131050676","快手","https://v.kuaishou.com/KdQPZwoI","2026-09-21 00:00:00",""
"75","线上快照中已找到相同链接，跳过","离离弹幕","woxinlaotianye","KOC抖音","https://v.douyin.com/s8ocr-zM65M/","2026-09-21 00:00:00",""
"76","线上快照中已找到相同链接，跳过","春溪晒浅唱","5367179002","快手","https://v.kuaishou.com/K1pqudgZ","2026-09-21 00:00:00",""
"77","线上快照中已找到相同链接，跳过","榴花照残景","lg123456qx","快手","https://v.kuaishou.com/KMT0WfH9","2026-09-21 00:00:00",""
"78","线上快照中已找到相同链接，跳过","北窗照疏星","2328561108","快手","https://v.kuaishou.com/KMT0WfH9","2026-09-21 00:00:00",""
"79","线上快照中已找到相同链接，跳过","北窗照疏星","80386634112","KOC抖音","https://www.douyin.com/video/7687815871319031525","2026-09-21 00:00:00",""
"80","线上快照中已找到相同链接，跳过","北窗照疏星","63644276049","小红书","https://xhslink.cn/o/3LQkBBpo485","2026-09-21 00:00:00",""
"81","线上快照中已找到相同链接，跳过","春庭扫残雪","27756439510I","小红书","https://xhslink.cn/o/65VocWe93Nl","2026-09-21 00:00:00",""
"82","线上快照中已找到相同链接，跳过","春庭扫残雪","2180652476","快手","https://v.kuaishou.com/JGawHKkV","2026-09-21 00:00:00",""
"83","线上快照中已找到相同链接，跳过","木樨落闲盏","239519495","小红书","https://v.kuaishou.com/JFpbMJ8p","2026-09-21 00:00:00",""
"84","线上快照中已找到相同链接，跳过","木樨落闲盏","9116648048","小红书","https://xhslink.cn/o/8YL4SFNW0ER","2026-09-21 00:00:00",""
"85","线上快照中已找到相同链接，跳过","榴花照残影","64656766929","KOC抖音","https://v.douyin.com/9ThaxBXCYXA/","2026-09-21 00:00:00",""
"86","线上快照中已找到相同链接，跳过","榴花照残影","3095362496","快手","https://v.kuaishou.com/KDlyf2DZ","2026-09-21 00:00:00",""
"87","线上快照中已找到相同链接，跳过","榴花照残影","1237842925","快手","https://v.kuaishou.com/K58GMZEc","2026-09-21 00:00:00",""
"88","尚未上传，需要补充或更正","","64656766929","KOC抖音","https://v.douyin.com/pajys5DiJyA/","2026-09-21 00:00:00","缺少关键词"
"89","尚未上传，需要补充或更正","","3095362496","快手","https://v.kuaishou.com/JZvjQrct","2026-09-21 00:00:00","缺少关键词"
"90","尚未上传，需要补充或更正","","1237842925","快手","https://v.kuaishou.com/KcDJvcAF","2026-09-21 00:00:00","缺少关键词"
"91","线上快照中已找到相同链接，跳过","尘笼异遇","Asahicx","KOC抖音","https://v.douyin.com/6MHTChQ_f6A/","2026-09-21 00:00:00",""
"92","线上快照中已找到相同链接，跳过","尘笼异遇","dydwey3k218f","KOC抖音","https://v.douyin.com/35GUu0QNVfA/","2026-09-21 00:00:00",""
"93","线上快照中已找到相同链接，跳过","尘笼异遇","2242098623","快手","https://v.kuaishou.com/Jc16vKz1","2026-09-21 00:00:00",""
"94","线上快照中已找到相同链接，跳过","尘笼异遇","6552622707","小红书","https://xhslink.cn/o/9fK0Hx7bAjm","2026-09-21 00:00:00",""
"95","线上快照中已找到相同链接，跳过","梧桐戏秋雨","26163555320","小红书","https://xhslink.cn/o/16DORnafEkB","2026-09-21 00:00:00",""
"96","线上快照中已找到相同链接，跳过","光阴浅淡","27492768664","小红书","https://xhslink.cn/o/AEK2KRNA3x7","2026-09-21 00:00:00",""
"97","线上快照中已找到相同链接，跳过","光阴浅淡","9756340943","小红书","https://xhslink.cn/o/1WGIahUQa6i","2026-09-21 00:00:00",""
"98","线上快照中已找到相同链接，跳过","光阴浅淡","35604834831","KOC抖音","https://v.douyin.com/PQw1_5uTu0c/","2026-09-21 00:00:00",""
"99","线上快照中已找到相同链接，跳过","光阴浅淡","5898198585","小红书","https://xhslink.cn/o/8ChEYMyqM9L","2026-09-21 00:00:00",""
"100","线上快照中已找到相同链接，跳过","光阴浅淡","3250025690","快手","https://v.kuaishou.com/nv33tanT","2026-09-21 00:00:00",""
"101","线上快照中已找到相同链接，跳过","光阴浅淡","77838769946","KOC抖音","https://v.douyin.com/mHCN4T4xVjM/","2026-09-21 00:00:00",""
"102","线上快照中已找到相同链接，跳过","","1108124473","快手","https://v.kuaishou.com/Jcp3E421","",""
"103","线上快照中已找到相同链接，跳过","","5772026103","快手","https://v.kuaishou.com/JJqcppd1","",""
"104","线上快照中已找到相同链接，跳过","","80202567352","KOC抖音","https://xhslink.cn/o/16DORnafEkB","2026-09-21 00:00:00",""
"105","线上快照中已找到相同链接，跳过","梧桐戏秋雨","26163555320","视频号","https://weixin.qq.com/sph/ArEIUQiBtO","2026-09-21 00:00:00",""
"106","线上快照中已找到相同链接，跳过","淡月映疏星","128923663","KOC抖音","https://v.douyin.com/L5W_O3n-dwo/","2026-09-21 00:00:00",""
"107","线上快照中已找到相同链接，跳过","淡月映疏星","24986795","KOC抖音","https://v.douyin.com/h-SHptP-lB8/","2026-09-21 00:00:00",""
"108","线上快照中已找到相同链接，跳过","淡月映疏星","51981528814","KOC抖音","https://v.douyin.com/HTew9ZtiK40/","2026-09-21 00:00:00",""
"109","线上快照中已找到相同链接，跳过","淡月映疏星","5772178762","快手","https://v.kuaishou.com/KUonTYdR","2026-09-21 00:00:00",""
"110","线上快照中已找到相同链接，跳过","淡月映疏星","80294338983","KOC抖音","https://v.douyin.com/e_rmeicfhDs/","2026-09-21 00:00:00",""
"111","线上快照中已找到相同链接，跳过","淡月映疏星","1567850135","快手","https://v.kuaishou.com/KHDk4tp1","2026-09-21 00:00:00",""
"112","线上快照中已找到相同链接，跳过","淡月映疏星","1596007902","快手","https://v.kuaishou.com/JeLvEmEP","2026-09-21 00:00:00",""
"113","线上快照中已找到相同链接，跳过","","WHXunF","视频号","https://weixin.qq.com/sph/A3WELKgLmD","2026-09-21 00:00:00",""
"114","线上快照中已找到相同链接，跳过","木樨落闲盏","98518272378","KOC抖音","https://v.douyin.com/sQFu0yP0JpQ/","2026-09-21 00:00:00",""
"115","线上快照中已找到相同链接，跳过","木樨落闲盏","htc-11413","快手","https://v.kuaishou.com/JDaq8nKx","2026-09-21 00:00:00",""
"116","尚未上传，仍需核对线上计划","北窗照疏星","1132840053","快手","https://v.kuaishou.com/Jn6KuR2n","2026-09-21 00:00:00",""
"117","尚未上传，仍需核对线上计划","木樨落闲盏","he9720311","KOC抖音","https://v.douyin.com/PcKU5Gp0e2A/","2026-09-21 00:00:00",""
"118","尚未上传，仍需核对线上计划","木樨落闲盏","239074049","快手","https://v.kuaishou.com/Kt3KkDvz","2026-09-21 00:00:00",""
"119","尚未上传，需要补充或更正","梧桐戏秋雨","68677471139","快手","https://v.douyin.com/yTxxuPJw_vg/","2026-09-21 00:00:00","平台字段与链接域名冲突"
"120","尚未上传，仍需核对线上计划","月色临旧窗","40897765075","KOC抖音","https://v.douyin.com/AdW8MquljBw/","2026-09-21 00:00:00",""
"121","文件内与第120行重复，跳过","梧桐戏秋雨","5378323533","快手","https://v.douyin.com/AdW8MquljBw/","2026-09-21 00:00:00",""
"122","尚未上传，仍需核对线上计划","月色临旧窗","5338267277","快手","https://v.kuaishou.com/KFhWdc1N","2026-09-21 00:00:00",""
"123","尚未上传，仍需核对线上计划","月色临旧窗","tao199999919","KOC抖音","https://v.douyin.com/oC59lqsqwMk/","2026-09-21 00:00:00",""
"124","尚未上传，仍需核对线上计划","台城空晚","a351072001","快手","https://v.kuaishou.com/KwYiTwwb","2026-09-21 00:00:00",""
"125","尚未上传，仍需核对线上计划","台城空晚","2381901294","快手","https://v.kuaishou.com/JqokQwQL","2026-09-21 00:00:00",""
"126","尚未上传，仍需核对线上计划","台城空晚","837092028","小红书","https://xhslink.cn/o/9KmljLy2JKS","2026-09-21 00:00:00",""
"128","尚未上传，仍需核对线上计划","月色临旧窗","26922235506","小红书","https://xhslink.cn/o/9z9hcLMNgAv","2026-09-21 00:00:00",""
"130","尚未上传，仍需核对线上计划","残荷映春水","1773719316","快手","https://v.kuaishou.com/JGQYQaj1","2026-09-21 00:00:00",""
"131","尚未上传，仍需核对线上计划","残荷映春水","q2879145843","快手","https://v.kuaishou.com/KwyzUZSL","2026-09-21 00:00:00",""
"132","尚未上传，仍需核对线上计划","离离老板","dy58k7zyexhk","KOC抖音","https://v.douyin.com/4Zs2jMelYSE/","2026-09-21 00:00:00",""
"133","尚未上传，仍需核对线上计划","离离老板","905000034","快手","https://www.kuaishou.com/f/X-3shQX9espgF1Tn","2026-09-21 00:00:00",""
"134","尚未上传，仍需核对线上计划","离离老板","26225156063","小红书","https://www.xiaohongshu.com/discovery/item/6ab0df36000000003100e999?source=webshare&xhsshare=pc_web&xsec_token=CBi5LP-rz8Co-HChT4GWDhEeN9LQvXObjmabHufs8B3mI=&xsec_source=pc_share","2026-09-21 00:00:00",""
"135","尚未上传，仍需核对线上计划","晚风渡宣口","2014389456","快手","https://v.kuaishou.com/JPYVpH2N","2026-09-21 00:00:00",""
"136","尚未上传，仍需核对线上计划","暮色随片场","3658861600","快手","https://v.kuaishou.com/nn5S2vSx","2026-09-21 00:00:00",""
"137","尚未上传，仍需核对线上计划","月色临旧窗","2006758602","快手","https://v.kuaishou.com/K2Dh5Eo1","2026-09-21 00:00:00",""
"138","尚未上传，需要补充或更正","","4983375735","小红书","https://xhslink.cn/o/2KMZrtVroM6","2026-09-21 00:00:00","缺少关键词"
